uuid,planting_status
7ead8089-180e-48ce-ae5b-58b0de9a69b6,completed
0b5f1a3c-4191-4014-a5e8-babdc1829d85,in-progress
65a29963-df0b-49ca-9299-0017c8262942,completed
eb3fdf1c-12d0-4fcd-aa10-16cb3ddad1d9,completed
b916b333-ce53-4b10-afe1-aa76aa74aa1e,completed
ba56ee29-2de6-4e88-a08f-b1eb10b5798c,completed
34f95f7e-e76f-4b65-89db-e2e72e9069ce,in-progress
f930d68a-c445-4872-90a5-f99530810c5c,in-progress
55a7215d-e0ae-4f2b-b54b-2d9d63f1974a,in-progress
0d2f5f69-4777-4ffa-a32f-19897bfae890,completed
76174ec5-0159-49f0-8bd6-77678469eec7,completed
b7dfd90e-e7bc-4c05-b30c-d7a60f3fb89d,completed
cba58e78-6ca6-4f26-a3b2-99af9fd5c309,completed
fb916d85-bc0a-4104-b403-e74517c02861,in-progress
72d9dcc3-35d6-472f-9cda-a5d47df51ad8,completed
f52fc8ea-6f86-47da-83e0-1bd2f11a7964,completed
efad82ae-5636-4afe-b85d-e4a7bb957d91,in-progress
2946e449-3965-459e-a645-13c474929ac9,in-progress
d657b2c2-8b5a-485d-b932-fc24eedb4185,in-progress
3e15bedb-9b6c-40f6-b1b6-3885182a7b80,in-progress
7289c812-31e6-4ed3-a9d8-a5b11c902803,in-progress
48529c12-c92f-40a3-9c1b-e759bd01ab26,completed
c2978665-e609-4e09-b125-8011b9c88242,completed
1bd19c58-a886-4eb8-8ff5-8d644703eb3d,not-started
facb90f4-dd6a-49b9-b6b6-6cb41d792b5f,in-progress
a47e5f1f-fc1a-46f4-b655-6f1f75c060c1,in-progress
a9ff824a-89f8-4946-b4df-5ab9ad81200a,completed
a0e44e0f-79db-46b3-a1ee-1799e31c8f53,not-started
